sp_MSalreadyhavegeneration
sp_MSwritemergeperfcounter
sp_replshowcmds
sp_publishdb
sp_addqueued_artinfo
sp_MSget_subscription_dts_info
sp_help_spatial_geometry_index_xml
sp_password
sp_MSstopdistribution_agent
sp_replmonitorrefreshjob
sp_redirect_publisher
sp_MSenumpartialchangesdirect
sp_MSupdate_subscriber_info
sp_MSdrop_distribution_agent
sp_MSallocate_new_identity_range
sp_MSenum_snapshot
sp_dropmergepullsubscription
sp_MShelpvalidationdate
sp_cycle_errorlog
sp_MSgetdynamicsnapshotapplock
sp_rename
sp_dropremotelogin
sp_addpullsubscription
sp_cdc_disable_table
sp_is_makegeneration_needed
sp_MSaddmergedynamicsnapshotjob
sp_MSrepl_agentstatussummary
sp_changelogreader_agent
sp_MSdynamicsnapshotjobexistsatdistributor
sp_procedure_params_100_rowset2
sp_MSenum_merge_subscriptions
sp_autostats
sp_assemblies_rowset_rmt
sp_columns_90_rowset_rmt
sp_MScomputemergearticlescreationorder
sp_addserver
sp_MSchecksnapshotstatus
sp_MShelp_distribution_agentid
sp_MSaddlightweightmergearticle
sp_MSarticlecleanup
sp_MSexecwithlsnoutput
sp_MShelp_identity_property
sp_replicationdboption
sp_MScreate_sub_tables
sp_MSresetsnapshotdeliveryprogress
sp_MSremove_mergereplcommand
sp_ldw_insert_container_and_partition_for_ext_table
sp_MSadd_repl_command
sp_MSgetagentoffloadinfo
sp_MSgetconflicttablename
sp_script_reconciliation_sinsproc
sp_MSinsertgenerationschemachanges
sp_MSgetlightweightmetadatabatch
sp_MSNonSQLDDLForSchemaDDL
sp_dropextendedproc
sp_MSdopartialdatabasesnapshotinitiation
sp_help_fulltext_catalogs_cursor
sp_MSadd_replcmds_mcit
sp_changemergesubscription
sp_MSgetonerow
sp_MSquerysubtype
sp_MSevaluate_change_membership_for_pubid
sp_MSrepl_dropdatatypemappings
sp_MSdetect_nonlogged_shutdown
sp_change_log_shipping_primary_database
sp_MSrepl_gettype_mappings
sp_MSenum_distribution
sp_MSrepl_enumpublishertables
sp_MSsetupbelongs
sp_columns_rowset_rmt
sp_grantdbaccess
sp_helpsort
sp_MSscriptviewproc
sp_distcounters
sp_MSgettrancftsrcrow
sp_MSactivatelogbasedarticleobject
sp_validate_redirected_publisher
sp_MSupdatelastsyncinfo
sp_replsqlqgetrows
sp_MSadd_filteringcolumn
sp_MSSQLDMO90_version
sp_check_dynamic_filters
sp_MSsub_set_identity
sp_unbindefault
sp_fulltext_semantic_register_language_statistics_db
sp_MSestimatemergesnapshotworkload
sp_startmergepushsubscription_agent
sp_delete_log_shipping_secondary_database
sp_MSreplcheck_subscribe_withddladmin
sp_MSdroparticletombstones
sp_ldw_insert_files_for_ext_table
sp_table_type_primary_keys_rowset
sp_special_columns
sp_MShelpdestowner
sp_droparticle
sp_MSdelsubrows
sp_MSlock_auto_sub
sp_MSget_type_wrapper
sp_check_constbytable_rowset2
sp_MSrepl_subscription_rowset
sp_MSenumgenerations
sp_helptracertokenhistory
sp_MShelpconflictpublications
sp_setnetname
sp_dsninfo
sp_bindefault
sp_fulltext_database
sp_dbmmonitoraddmonitoring
sp_MSenumcolumnslightweight
sp_dropdatatypemapping
sp_MSindexspace
sp_procedure_params_100_managed
sp_MSactivate_auto_sub
sp_MSfixlineageversions
sp_addscriptexec
sp_provider_types_rowset
sp_MSremoveoffloadparameter
sp_IHXactSetJob
sp_MScreate_all_article_repl_views
sp_cdc_enable_db
sp_MSstopmerge_agent
sp_changedistributiondb
sp_MSacquiresnapshotdeliverysessionlock
sp_addpublication_snapshot
sp_MSvalidatearticle
sp_filestream_recalculate_container_size
sp_MSscriptcustomupdproc
sp_MShelp_distdb
sp_dbmmonitordropmonitoring
sp_MShelpsnapshot_agent
sp_MSupdatepeerlsn
sp_MSgetdynsnapvalidationtoken
sp_MSenumcolumns
sp_MSprep_exclusive
sp_catalogs_rowset
sp_MScleanup_subscription_distside_entry
sp_MSget_dynamic_snapshot_location
sp_changedynamicsnapshot_job
sp_MSestimatesnapshotworkload
