sp_help_spatial_geometry_index_xml
sp_help_fulltext_catalogs_cursor
sp_helpsort
sp_helptracertokenhistory
sp_help_peerconflictdetection
sp_help_spatial_geometry_index
sp_helparticle
sp_helpntgroup
sp_help_spatial_geometry_histogram
sp_helpmergepartition
sp_help_agent_default
sp_helpdistpublisher
sp_helpsrvrole
sp_helpserver
sp_helptext
sp_helpsubscription_properties
sp_helpdynamicsnapshot_job
sp_helpstats
sp_helppeerrequests
sp_help_spatial_geography_histogram
sp_helpconstraint
sp_help_log_shipping_monitor
sp_helpallowmerge_publication
sp_help_fulltext_catalogs
sp_helpsubscription
sp_helprole
sp_helpmergearticleconflicts
sp_helpreplfailovermode
sp_help
sp_help_fulltext_tables
sp_help_log_shipping_primary_database
sp_helplanguage
sp_helparticledts
sp_help_fulltext_columns
sp_help_datatype_mapping
sp_helptracertokens
sp_helpmergesubscription
sp_helpfile
sp_help_spatial_geography_index
sp_help_spatial_geography_index_xml
sp_helprotect
sp_helpdatatypemap
sp_helpsubscriptionerrors
sp_helppublication_snapshot
sp_helpreplicationdb
sp_help_fulltext_system_components
sp_helpreplicationoption
sp_help_log_shipping_primary_secondary
sp_helpmergelogfileswithdata
sp_helplogins
sp_helpuser
sp_helpindex
sp_helpdevice
sp_helpmergepublication
sp_helpdistributiondb
sp_helptrigger
sp_helppullsubscription
sp_help_agent_profile
sp_helpqreader_agent
sp_helplinkedsrvlogin
sp_help_fulltext_columns_cursor
sp_help_publication_access
sp_help_log_shipping_monitor_primary
sp_helpfilegroup
sp_helpmergepullsubscription
sp_helppublicationsync
sp_help_log_shipping_secondary_database
sp_helpdistributor
sp_helpdistributor_properties
sp_helpdbfixedrole
sp_helpextendedproc
sp_help_agent_parameter
sp_helplogreader_agent
sp_helpmergelogsettings
sp_help_log_shipping_alert_job
sp_helpreplicationdboption
sp_helpmergearticlecolumn
sp_helppublication
sp_helpsubscriberinfo
sp_helpremotelogin
sp_helpmergeconflictrows
sp_helpmergelogfiles
sp_helpmergearticle
sp_helpmergealternatepublisher
sp_help_fulltext_tables_cursor
sp_helpxactsetjob
sp_help_log_shipping_monitor_secondary
sp_helpsrvrolemember
sp_help_log_shipping_secondary_primary
sp_helpdb
sp_helprolemember
sp_help_fulltext_catalog_components
sp_helpmergefilter
sp_helparticlecolumns
sp_helppeerresponses
sp_helpmergedeleteconflictrows
